Symbol,Company Name,Market Cap,Div. ($),Div. Yield,Payout Ratio,Div. Growth,Payout Freq.,Div. Gr. Years,Div. Years,Div. Growth 3Y,Div. Growth 5Y
SRTA,"Strata Critical Medical, Inc.",404.20M,0,-,-,-,-,-,1,-,-
BNTC,Benitec Biopharma Inc.,403.87M,0,-,-,-,-,-,-,-,-
OEC,Orion S.A.,403.15M,0.08,1.15%,-,-,Quarterly,-,4,-,32.86%
CAN,Canaan Inc.,403.02M,0,-,-,-,-,-,-,-,-
MCFT,"MasterCraft Boat Holdings, Inc.",401.59M,0,-,-,-,-,-,-,-,-
ENTA,"Enanta Pharmaceuticals, Inc.",401.33M,0,-,-,-,-,-,-,-,-
NC,"NACCO Industries, Inc.",401.27M,1.01,1.88%,25.38%,9.44%,Quarterly,7,55,5.87%,5.05%
BCYC,Bicycle Therapeutics plc,400.95M,0,-,-,-,-,-,1,-,-
CDZI,Cadiz Inc.,400.59M,0,-,-,-,-,-,1,-,-
ACTG,Acacia Research Corporation,400.31M,0,-,-,-,-,-,-,-,-
NBP,NovaBridge Biosciences,400.06M,0,-,-,-,-,-,-,-,-
ACRS,"Aclaris Therapeutics, Inc.",399.79M,0,-,-,-,-,-,1,-,-
SMWB,Similarweb Ltd.,398.62M,0,-,-,-,-,-,1,-,-
LND,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,398.60M,0.12,3.13%,-,-51.33%,Annual,-,11,-42.45%,-23.40%
AKBA,"Akebia Therapeutics, Inc.",398.05M,0,-,-,-,-,-,1,-,-
ETON,"Eton Pharmaceuticals, Inc.",397.17M,0,-,-,-,-,-,1,-,-
NPAC,New Providence Acquisition Corp. III,396.96M,-,-,-,-,-,-,-,-,-
VTVT,vTv Therapeutics Inc.,395.84M,0,-,-,-,-,-,1,-,-
CLBR,Colombier Acquisition Corp. III,395.30M,0,-,-,-,-,-,1,-,-
API,"Agora, Inc.",395.23M,0,-,-,-,-,-,1,-,-
BOC,Boston Omaha Corporation,395.06M,0,-,-,-,-,-,1,-,-
ADUR,Aduro Clean Technologies Inc.,393.37M,0,-,-,-,-,-,1,-,-
CTEV,Claritev Corporation,393.15M,0,-,-,-,-,-,1,-,-
CMTG,"Claros Mortgage Trust, Inc.",392.61M,0,-,-,-,-,-,4,-16.88%,-
AVBC,"Avidia Bancorp, Inc.",392.29M,0.20,1.02%,-,-,-,-,-,-,-
CCIX,Churchill Capital Corp IX,392.29M,0,-,-,-,-,-,1,-,-
HCKT,"The Hackett Group, Inc.",392.05M,0.48,3.07%,125.05%,9.09%,Quarterly,1,14,2.94%,4.51%
IMMP,Immutep Limited,391.64M,0,-,-,-,-,-,1,-,-
BRBI,BRBI BR Partners S.A.,391.40M,0.74,4.68%,244.10%,-,-,1,1,-,-
MEVO,M Evo Global Acquisition Corp II,391.17M,0,-,-,-,-,-,1,-,-
