Symbol,Company Name,Market Cap,Div. ($),Div. Yield,Payout Ratio,Div. Growth,Payout Freq.,Div. Gr. Years,Div. Years,Div. Growth 3Y,Div. Growth 5Y
MITK,"Mitek Systems, Inc.",535.19M,0,-,-,-,-,-,1,-,-
SLDB,Solid Biosciences Inc.,534.46M,0,-,-,-,-,-,-,-,-
KROS,"Keros Therapeutics, Inc.",534.07M,0,-,-,-,-,-,-,-,-
INN,"Summit Hotel Properties, Inc.",533.91M,0.32,7.13%,-,-,Quarterly,3,5,38.67%,51.57%
LVWR,"LiveWire Group, Inc.",532.41M,0,-,-,-,-,-,-,-,-
FTK,"Flotek Industries, Inc.",531.78M,0,-,-,-,-,-,1,-,-
FBRX,"Forte Biosciences, Inc.",531.56M,0,-,-,-,-,-,1,-,-
CRD.A,Crawford & Company,531.42M,0.29,2.66%,44.42%,3.57%,Quarterly,3,15,6.51%,10.01%
TRX,TRX Gold Corporation,531.04M,0,-,-,-,-,-,1,-,-
GRPN,"Groupon, Inc.",530.22M,0,-,-,-,-,-,1,-,-
CCAP,"Crescent Capital BDC, Inc.",530.10M,1.68,11.72%,188.34%,-10.29%,Quarterly,-,6,1.70%,2.22%
APPS,"Digital Turbine, Inc.",529.96M,0,-,-,-,-,-,1,-,-
DNUT,"Krispy Kreme, Inc.",529.32M,0.04,1.13%,-,-,-,-,5,-,-
CODI,Compass Diversified,528.91M,0.25,3.56%,-,-,-,-,20,-,-7.03%
EU,enCore Energy Corp.,528.43M,0,-,-,-,-,-,1,-,-
GOTU,Gaotu Techedu Inc.,527.67M,0,-,-,-,-,-,1,-,-
VBNK,VersaBank,527.64M,0.07,0.44%,11.29%,1.40%,Quarterly,-,9,-1.13%,-1.28%
TENX,"Tenax Therapeutics, Inc.",527.41M,0,-,-,-,-,-,1,-,-
MTW,"The Manitowoc Company, Inc.",527.10M,0,-,-,-,-,-,-,-,-
STEX,Streamex Corp.,525.98M,0,-,-,-,-,-,1,-,-
LXEO,"Lexeo Therapeutics, Inc.",525.51M,0,-,-,-,-,-,1,-,-
OBE,Obsidian Energy Ltd.,525.10M,0,-,-,-,-,-,-,-,-
CRD.B,Crawford & Company,523.60M,0.30,2.82%,44.42%,3.57%,Quarterly,3,15,6.51%,10.01%
ANRO,"Alto Neuroscience, Inc.",523.16M,0,-,-,-,-,-,-,-,-
GOSS,"Gossamer Bio, Inc.",523.09M,0,-,-,-,-,-,1,-,-
MAGN,Magnera Corporation,522.70M,0,-,-,-,-,-,1,-,-
KRT,Karat Packaging Inc.,521.98M,1.80,6.93%,119.97%,5.88%,Quarterly,4,5,-,-
RGNX,REGENXBIO Inc.,521.92M,0,-,-,-,-,-,-,-,-
SWBI,"Smith & Wesson Brands, Inc.",521.02M,0.52,4.44%,248.68%,1.96%,Quarterly,6,6,9.14%,-
PACK,Ranpak Holdings Corp.,518.07M,0,-,-,-,-,-,1,-,-
IHRT,"iHeartMedia, Inc.",518.04M,0,-,-,-,-,-,1,-,-
FEIM,"Frequency Electronics, Inc.",517.24M,0,-,-,-,-,-,2,-,-
OFIX,Orthofix Medical Inc.,517.17M,0,-,-,-,-,-,-,-,-
ASTL,Algoma Steel Group Inc.,516.27M,0.10,2.03%,-,-,-,-,4,7.72%,-
CIVB,"Civista Bancshares, Inc.",516.07M,0.72,2.90%,26.14%,6.15%,Quarterly,14,16,7.21%,8.92%
DIN,"Dine Brands Global, Inc.",515.79M,0.76,2.13%,76.92%,-15.69%,Quarterly,-,13,-5.53%,33.87%
TROO,"TROOPS, Inc.",515.10M,0,-,-,-,-,-,1,-,-
EBF,"Ennis, Inc.",514.96M,1.00,4.91%,60.27%,-71.43%,Quarterly,-,54,-,2.13%
KRNY,Kearny Financial Corp.,514.38M,0.44,5.38%,85.20%,-,Quarterly,-,12,-,5.92%
FPI,Farmland Partners Inc.,514.10M,0.24,2.03%,34.52%,-68.35%,Quarterly,-,13,22.39%,17.08%
UMAC,"Unusual Machines, Inc.",513.68M,0,-,-,-,-,-,1,-,-
VSTM,"Verastem, Inc.",513.26M,0,-,-,-,-,-,1,-,-
LX,LexinFintech Holdings Ltd.,513.20M,0.39,12.72%,16.89%,100.26%,Semi-Annual,3,3,-,-
LXRX,"Lexicon Pharmaceuticals, Inc.",512.50M,0,-,-,-,-,-,-,-,-
FMNB,Farmers National Banc Corp.,511.70M,0.68,5.00%,46.90%,-,Quarterly,-,33,1.00%,9.10%
BLND,"Blend Labs, Inc.",511.70M,0,-,-,-,-,-,1,-,-
ITIC,Investors Title Company,510.38M,10.56,3.91%,55.59%,-33.33%,Quarterly,-,43,29.70%,-8.82%
EGY,"VAALCO Energy, Inc.",509.82M,0.25,5.11%,92.61%,-,Quarterly,-,4,16.04%,50.39%
GTN.A,"Gray Media, Inc.",508.55M,0.32,2.69%,74.42%,-,Quarterly,-,5,-,31.95%
NKLR,Terra Innovatum Global N.V.,508.30M,0,-,-,-,-,-,1,-,-
NPCE,"NeuroPace, Inc.",508.28M,0,-,-,-,-,-,1,-,-
JOUT,Johnson Outdoors Inc.,506.91M,1.32,2.68%,-,-,Quarterly,-,14,2.66%,11.67%
ASIX,AdvanSix Inc.,506.66M,0.64,3.39%,33.33%,-,Quarterly,-,5,4.55%,-
MLR,"Miller Industries, Inc.",505.95M,0.80,1.81%,30.99%,5.26%,Quarterly,2,16,3.57%,2.13%
GMRE,Global Medical REIT Inc.,504.74M,3.00,8.23%,-,-21.43%,Quarterly,-,12,-7.72%,-3.89%
ANGI,Angi Inc.,504.43M,0,-,-,-,-,-,-,-,-
MCTA,Charming Medical Limited,504.26M,0,-,-,-,-,-,1,-,-
NWAX,New America Acquisition I Corp.,502.98M,0,-,-,-,-,-,1,-,-
MLAB,"Mesa Laboratories, Inc.",501.16M,0.64,0.71%,94.08%,-,Quarterly,-,24,-,-
MSBI,"Midland States Bancorp, Inc.",500.46M,1.28,5.41%,-,2.42%,Quarterly,10,11,2.77%,3.25%
WEST,Westrock Coffee Company,499.62M,0,-,-,-,-,-,1,-,-
ALLT,Allot Ltd.,499.55M,0,-,-,-,-,-,1,-,-
UP,Wheels Up Experience Inc.,498.92M,0,-,-,-,-,-,1,-,-
SATL,Satellogic Inc.,498.60M,0,-,-,-,-,-,1,-,-
GBFH,GBank Financial Holdings Inc.,498.51M,0,-,-,-,-,-,-,-,-
RSVR,"Reservoir Media, Inc.",497.91M,0,-,-,-,-,-,1,-,-
FBIZ,"First Business Financial Services, Inc.",496.69M,1.36,2.28%,20.37%,16.35%,Quarterly,13,22,13.85%,12.38%
PKE,Park Aerospace Corp.,495.16M,0.50,2.01%,116.32%,-,Quarterly,-,42,-27.28%,4.56%
ADCT,ADC Therapeutics SA,494.27M,0,-,-,-,-,-,1,-,-
LYEL,"Lyell Immunopharma, Inc.",493.92M,0,-,-,-,-,-,1,-,-
OWLS,Obook Holdings Inc.,493.15M,0,-,-,-,-,-,-,-,-
HSHP,Himalaya Shipping Ltd.,491.31M,0.70,6.48%,630.04%,43.30%,Monthly,2,3,-,-
LEGH,Legacy Housing Corporation,489.31M,0,-,-,-,-,-,1,-,-
SBC,SBC Medical Group Holdings Incorporated,487.24M,0,-,-,-,-,-,1,-,-
LWLG,"Lightwave Logic, Inc.",487.19M,0,-,-,-,-,-,1,-,-
WEAV,"Weave Communications, Inc.",486.88M,0,-,-,-,-,-,1,-,-
HBCP,"Home Bancorp, Inc.",486.09M,1.24,2.00%,20.10%,14.56%,Quarterly,12,13,7.49%,6.04%
ORGO,Organogenesis Holdings Inc.,486.07M,0,-,-,-,-,-,-,-,-
CARE,"Carter Bankshares, Inc.",484.94M,0,-,-,-,-,-,-,-,-
OLP,"One Liberty Properties, Inc.",484.85M,1.80,8.04%,117.00%,-,Quarterly,-,35,-,-
LAB,Standard BioTools Inc.,484.55M,0,-,-,-,-,-,-,-,-
CHCT,Community Healthcare Trust Incorporated,484.08M,1.90,10.58%,-,2.17%,Quarterly,11,11,2.02%,2.15%
HKD,AMTD Digital Inc.,483.99M,0,-,-,-,-,-,1,-,-
BSRR,Sierra Bancorp,483.00M,1.04,2.82%,32.48%,5.21%,Quarterly,2,31,3.16%,4.51%
SOHU,Sohu.com Limited,482.85M,0,-,-,-,-,-,-,-,-
NUS,"Nu Skin Enterprises, Inc.",482.63M,0.24,2.42%,10.90%,-,Quarterly,-,25,-46.24%,-30.73%
ZVRA,"Zevra Therapeutics, Inc.",482.47M,0,-,-,-,-,-,1,-,-
AQST,"Aquestive Therapeutics, Inc.",480.69M,0,-,-,-,-,-,1,-,-
SFST,"Southern First Bancshares, Inc.",480.66M,0,-,-,-,-,-,-,-,-
BMBL,Bumble Inc.,480.27M,0,-,-,-,-,-,1,-,-
HLLY,Holley Inc.,480.05M,0,-,-,-,-,-,1,-,-
ULH,"Universal Logistics Holdings, Inc.",480.00M,0.42,2.30%,-,-,Quarterly,-,15,-,14.87%
CWBC,Community West Bancshares,479.85M,0.48,1.92%,24.00%,-,Quarterly,-,15,-,1.76%
HTT,High Templar Tech Limited,478.87M,0,-,-,-,-,-,-,-,-
MCS,The Marcus Corporation,478.83M,0.32,2.05%,122.29%,7.14%,Quarterly,3,4,25.99%,43.10%
KRSP,Rice Acquisition Corporation 3,477.51M,0,-,-,-,-,-,1,-,-
PRTA,Prothena Corporation plc,476.93M,0,-,-,-,-,-,1,-,-
EVTL,Vertical Aerospace Ltd.,475.85M,0,-,-,-,-,-,1,-,-
NPWR,NET Power Inc.,475.38M,0,-,-,-,-,-,1,-,-
OBT,"Orange County Bancorp, Inc.",475.38M,0.72,2.02%,17.13%,21.28%,Quarterly,4,18,9.85%,7.34%
KMDA,Kamada Ltd.,474.56M,0.20,2.42%,57.21%,-,-,1,1,-,-
MLAA,Mountain Lake Acquisition Corp. II,472.79M,0,-,-,-,-,-,1,-,-
MYGN,"Myriad Genetics, Inc.",472.59M,-,-,-,-,-,-,-,-,-
GRVY,"Gravity Co., Ltd.",472.04M,0,-,-,-,-,-,1,-,-
TCI,"Transcontinental Realty Investors, Inc.",471.88M,0,-,-,-,-,-,-,-,-
MG,"Mistras Group, Inc.",471.33M,0,-,-,-,-,-,1,-,-
GLRE,"Greenlight Capital Re, Ltd.",470.23M,0,-,-,-,-,-,-,-,-
MSB,Mesabi Trust,469.57M,1.28,3.58%,97.58%,-81.53%,Quarterly,2,37,54.07%,-2.19%
SIGA,"SIGA Technologies, Inc.",468.70M,0.60,9.17%,58.25%,-,Annual,-,4,10.06%,-
ANSC,Agriculture & Natural Solutions Acquisition Corporation,466.99M,0,-,-,-,-,-,1,-,-
GTEN,"Gores Holdings X, Inc.",464.95M,0,-,-,-,-,-,-,-,-
TECX,"Tectonic Therapeutic, Inc.",464.73M,0,-,-,-,-,-,1,-,-
KREF,KKR Real Estate Finance Trust Inc.,464.07M,1.00,13.85%,-,-,Quarterly,-,9,-16.54%,-10.28%
FDMT,"4D Molecular Therapeutics, Inc.",463.15M,0,-,-,-,-,-,1,-,-
YORW,The York Water Company,463.06M,0.91,2.84%,64.35%,4.00%,Quarterly,29,53,4.00%,4.00%
ZURA,Zura Bio Limited,461.98M,0,-,-,-,-,-,-,-,-
KYTX,"Kyverna Therapeutics, Inc.",461.61M,0,-,-,-,-,-,1,-,-
IMXI,"International Money Express, Inc.",461.53M,0,-,-,-,-,-,1,-,-
ELVA,Electrovaya Inc.,461.17M,0,-,-,-,-,-,1,-,-
PRTH,"Priority Technology Holdings, Inc.",460.94M,0,-,-,-,-,-,1,-,-
CMDB,Costamare Bulkers Holdings Limited,460.03M,0,-,-,-,-,-,1,-,-
NGS,"Natural Gas Services Group, Inc.",459.65M,0.44,1.20%,14.27%,-,Semi-Annual,1,1,-,-
APXT,Apex Treasury Corporation,459.14M,0,-,-,-,-,-,1,-,-
SPT,"Sprout Social, Inc.",458.72M,0,-,-,-,-,-,1,-,-
GETY,"Getty Images Holdings, Inc.",457.45M,0,-,-,-,-,-,1,-,-
FVR,"FrontView REIT, Inc.",457.17M,0.86,5.31%,570.90%,-,Quarterly,2,2,-,-
NOA,North American Construction Group Ltd.,457.10M,0.34,2.12%,37.96%,11.88%,Quarterly,7,12,10.15%,23.00%
PTLO,Portillo's Inc.,456.77M,0,-,-,-,-,-,-,-,-
FWDI,"Forward Industries, Inc.",455.85M,0,-,-,-,-,-,-,-,-
FRPH,"FRP Holdings, Inc.",455.71M,-,-,-,-,-,-,-,-,-
GTN,"Gray Media, Inc.",454.92M,0.32,6.81%,74.42%,-,Quarterly,-,5,-,31.95%
CRAN,Crane Harbor Acquisition Corp. II,454.00M,0,-,-,-,-,-,1,-,-
CION,CION Investment Corporation,453.67M,1.20,13.67%,333.45%,-,Monthly,-,6,2.79%,-
OCGN,"Ocugen, Inc.",452.49M,0,-,-,-,-,-,1,-,-
FUFU,BitFuFu Inc.,451.36M,0,-,-,-,-,-,-,-,-
LTBR,Lightbridge Corporation,451.04M,0,-,-,-,-,-,1,-,-
IPI,"Intrepid Potash, Inc.",450.90M,0,-,-,-,-,-,-,-,-
WNC,Wabash National Corporation,450.87M,0.32,2.87%,6.31%,-,Quarterly,-,10,-,-
SABR,Sabre Corporation,450.17M,0,-,-,-,-,-,-,-,-
NATR,"Nature's Sunshine Products, Inc.",449.81M,0,-,-,-,-,-,-,-,-
GEVO,"Gevo, Inc.",448.14M,0,-,-,-,-,-,1,-,-
CVGW,"Calavo Growers, Inc.",447.39M,0.80,3.20%,72.12%,33.33%,Quarterly,3,25,27.33%,-7.00%
COFS,"ChoiceOne Financial Services, Inc.",446.73M,1.16,3.90%,56.22%,3.67%,Quarterly,5,32,3.47%,6.11%
TRC,Tejon Ranch Co.,445.90M,0,-,-,-,-,-,-,-,-
CLFD,"Clearfield, Inc.",445.19M,0,-,-,-,-,-,1,-,-
DVLT,Datavault AI Inc.,444.81M,0,-,-,-,-,-,1,-,-
CBAN,"Colony Bankcorp, Inc.",443.94M,0.48,2.30%,29.28%,2.76%,Quarterly,8,10,2.44%,2.93%
VNDA,Vanda Pharmaceuticals Inc.,443.82M,0,-,-,-,-,-,1,-,-
NNDM,Nano Dimension Ltd.,443.81M,0,-,-,-,-,-,1,-,-
WTBA,"West Bancorporation, Inc.",443.68M,1.00,3.82%,52.08%,-,Quarterly,-,28,-,3.30%
EB,"Eventbrite, Inc.",442.91M,0,-,-,-,-,-,1,-,-
VHI,"Valhi, Inc.",441.52M,0.32,2.05%,49.57%,-,Quarterly,-,39,-,-
BMRC,Bank of Marin Bancorp,440.42M,1.00,3.62%,-,-,Quarterly,-,23,0.34%,1.68%
IBEX,IBEX Limited,439.97M,0,-,-,-,-,-,1,-,-
ANGO,"AngioDynamics, Inc.",439.79M,0,-,-,-,-,-,1,-,-
GLOO,"Gloo Holdings, Inc.",439.14M,0,-,-,-,-,-,1,-,-
BWAY,BrainsWay Ltd.,438.83M,0,-,-,-,-,-,1,-,-
BTQ,BTQ Technologies Corp.,438.42M,0,-,-,-,-,-,1,-,-
LENZ,"LENZ Therapeutics, Inc.",438.37M,0,-,-,-,-,-,-,-,-
PRAA,"PRA Group, Inc.",438.14M,0,-,-,-,-,-,-,-,-
BETR,Better Home & Finance Holding Company,438.09M,0,-,-,-,-,-,1,-,-
DMAC,DiaMedica Therapeutics Inc.,436.66M,0,-,-,-,-,-,1,-,-
HELE,Helen of Troy Limited,436.64M,0,-,-,-,-,-,-,-,-
GPRK,GeoPark Limited,436.56M,0.12,1.42%,72.07%,-18.37%,Quarterly,-,7,0.36%,62.87%
DVS,Dolly Varden Silver Corporation,435.85M,0,-,-,-,-,-,1,-,-
MBVI,M3-Brigade Acquisition Vi Corp.,435.56M,0,-,-,-,-,-,1,-,-
SGU,"Star Group, L.P.",434.99M,0.74,5.59%,38.72%,7.25%,Quarterly,13,18,6.65%,6.90%
DDI,"DoubleDown Interactive Co., Ltd.",434.58M,0,-,-,-,-,-,1,-,-
HVT.A,"Haverty Furniture Companies, Inc.",434.23M,1.21,4.31%,103.27%,2.54%,Quarterly,1,40,-15.28%,-14.38%
HVT,"Haverty Furniture Companies, Inc.",432.37M,1.32,4.97%,110.09%,2.38%,Quarterly,1,51,-15.26%,-14.30%
EPRX,Eupraxia Pharmaceuticals Inc.,432.08M,0,-,-,-,-,-,1,-,-
OSPN,OneSpan Inc.,431.61M,0.48,4.23%,32.21%,-,Quarterly,1,1,-,-
KBON,Karbon Capital Partners Corp.,431.47M,0,-,-,-,-,-,1,-,-
CYRX,"Cryoport, Inc.",431.09M,0,-,-,-,-,-,1,-,-
CCSI,"Consensus Cloud Solutions, Inc.",431.05M,0,-,-,-,-,-,1,-,-
MEC,"Mayville Engineering Company, Inc.",430.95M,0,-,-,-,-,-,-,-,-
TITN,Titan Machinery Inc.,428.26M,0,-,-,-,-,-,-,-,-
BSVN,Bank7 Corp.,427.43M,1.08,2.40%,22.67%,13.33%,Quarterly,5,7,22.12%,19.42%
GLAD,Gladstone Capital Corporation,427.01M,1.80,9.52%,126.14%,-15.76%,Monthly,-,26,6.93%,4.88%
SHMD,SCHMID Group N.V.,425.88M,0,-,-,-,-,-,1,-,-
ASMB,"Assembly Biosciences, Inc.",425.48M,0,-,-,-,-,-,-,-,-
FRBA,First Bank,424.95M,0.36,2.10%,15.52%,12.50%,Quarterly,-,10,4.00%,17.61%
KRAQ,KRAKacquisition Corp.,424.20M,0,-,-,-,-,-,1,-,-
HPP,"Hudson Pacific Properties, Inc.",423.80M,0,-,-,-,-,-,-,-53.58%,-36.90%
ZUMZ,Zumiez Inc.,423.57M,0,-,-,-,-,-,1,-,-
