index,label,checked,xpath
175,FCF / EV Yield,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[175]/input"
176,Buyback Yield / Dilution,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[176]/input"
177,Shareholder Yield,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[177]/input"
178,Average Volume,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[178]/input"
179,Relative Volume,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[179]/input"
180,Day's Gap (%),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[180]/input"
181,Change From Open (%),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[181]/input"
182,Beta (5Y),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[182]/input"
183,Beta (1Y),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[183]/input"
184,Beta (2Y),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[184]/input"
185,Relative Strength Index (RSI),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[185]/input"
186,Weekly RSI,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[186]/input"
187,Monthly RSI,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[187]/input"
188,Average True Range (ATR),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[188]/input"
189,Short % Float,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[189]/input"
190,Short % Shares,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[190]/input"
191,Short Ratio,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[191]/input"
192,Shares Outstanding,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[192]/input"
193,Float,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[193]/input"
194,Float Percentage,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[194]/input"
195,Shares Change (YoY),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[195]/input"
196,Shares Change (QoQ),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[196]/input"
197,Shares Insiders,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[197]/input"
198,Shares Institutions,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[198]/input"
199,Earnings Date,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[199]/input"
200,Last Earnings Date,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[200]/input"
201,Next Earnings Date,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[201]/input"
202,Earnings Time,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[202]/input"
203,Earnings Revenue Estimate,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[203]/input"
204,Revenue Estimated Growth,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[204]/input"
205,Earnings EPS Estimate,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[205]/input"
206,EPS Estimated Growth,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[206]/input"
207,Is SPAC,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[207]/input"
208,Is Primary Listing,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[208]/input"
209,Options,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[209]/input"
210,Ex-Dividend Date,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[210]/input"
211,Payment Date,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[211]/input"
212,Return on Equity,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[212]/input"
213,Return on Assets,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[213]/input"
214,Return on Capital,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[214]/input"
215,Return on Capital Employed,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[215]/input"
216,Return on Equity (5Y),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[216]/input"
217,Return on Assets (5Y),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[217]/input"
218,Return on Capital (5Y),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[218]/input"
219,Revenue Per Employee,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[219]/input"
220,Profits Per Employee,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[220]/input"
221,Asset Turnover,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[221]/input"
222,Inventory Turnover,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[222]/input"
223,Current Ratio,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[223]/input"
224,Quick Ratio,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[224]/input"
225,Debt / Equity,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[225]/input"
226,Debt / EBITDA,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[226]/input"
227,Debt / FCF,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[227]/input"
228,Effective Tax Rate,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[228]/input"
229,Tax / Revenue,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[229]/input"
230,Shareholders' Equity,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[230]/input"
231,Book Value Per Share,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[231]/input"
232,Tangible Book Value,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[232]/input"
233,TBV Per Share,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[233]/input"
234,"Property, Plant & Equipment",False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[234]/input"
235,Goodwill,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[235]/input"
236,Current Assets,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[236]/input"
237,Long-Term Assets,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[237]/input"
238,Current Liabilities,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[238]/input"
239,Long-Term Liabilities,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[239]/input"
240,Total Liabilities,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[240]/input"
241,Price / Tangible Book Value,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[241]/input"
242,Average PE Ratio (3Y),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[242]/input"
243,Average PE Ratio (5Y),False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[243]/input"
244,Working Capital,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[244]/input"
245,Net Working Capital,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[245]/input"
246,Working Capital Turnover,False,"//*[@id=""main""]/div[3]/div[1]/div/div[3]/div/div[2]/div[246]/input"
