Symbol,Company Name,Market Cap,Div. ($),Div. Yield,Payout Ratio,Div. Growth,Payout Freq.,Div. Gr. Years,Div. Years,Div. Growth 3Y,Div. Growth 5Y,Category,fiveYearAvgDivdendYield,Trainling_5Y_avg_dividend_yield,Trainling_5Y_min_dividend_yield,Trainling_5Y_max_dividend_yield,Trainling_10Y_avg_dividend_yield,Trainling_10Y_min_dividend_yield,Trainling_10Y_max_dividend_yield,Sector,Industry,FCF_Dividend_Ratio,Debt_to_Equity,ROE,Five_y_DividendYield_diff,Ten_y_DividendYield_diff
ECL,Ecolab Inc.,81.62B,2.92,0.0101,0.3857,0.1356,Quarterly,40.0,55.0,0.0882,0.0712,Aristocrat,0.0105,0.011029790624610888,0.008548036285013617,0.01609853315539387,0.011419356304427076,0.008548036285013617,0.01609853315539387,Basic Materials,Specialty Chemicals,1.69,103.92,21.87,-0.038095238095238196,-0.1155368366880352
CTAS,Cintas Corporation,77.88B,1.80,0.0092,0.37670000000000003,0.1542,Quarterly,45.0,45.0,0.16519999999999999,0.1032,Aristocrat,0.0092,0.009381031266029492,0.006882764228397599,0.0443241740280528,0.026032831053624753,0.006882764228397599,0.06870333134493292,Industrials,Specialty Business Services,2.15,72.66,43.4,0.0,-0.646600095815587
CL,Colgate-Palmolive Company,75.90B,2.08,0.022099999999999998,0.7909,0.04,Quarterly,63.0,63.0,0.034300000000000004,0.034,Aristocrat+King,0.0231,0.02493967342048055,0.019042045857695457,0.029856077595761428,0.026478904321589915,0.019042045857695457,0.03448731856550608,Consumer Defensive,Household & Personal Products,1.92,2188.49,497.47,-0.04329004329004333,-0.16537332014978887
SLB,SLB N.V.,75.57B,1.18,0.023399999999999997,0.4894,0.036000000000000004,Quarterly,4.0,56.0,0.1406,0.1813,SCHD,0.0202,0.02235448243470944,0.011312092033645258,0.03655585607879436,0.03466934258880212,0.011312092033645258,0.1883954987429532,Energy,Oil & Gas Equipment & Services,1.39,45.98,13.9,0.15841584158415833,-0.3250520992700339
APD,"Air Products and Chemicals, Inc.",63.76B,7.24,0.0253,,0.0113,Quarterly,51.0,56.0,0.027999999999999997,0.054000000000000006,Aristocrat,0.024,0.026040385348417155,0.02112404569904355,0.03425552411320768,0.027194386821589932,0.01950102620044912,0.03516385746095932,Basic Materials,Specialty Chemicals,-3.81,101.99,-1.67,0.05416666666666663,-0.06966095003421653
EOG,"EOG Resources, Inc.",61.79B,4.08,0.0358,0.397,0.07690000000000001,Quarterly,1.0,37.0,-0.2339,0.2161,SCHD,0.0259,0.03752889718059683,0.021121971856677905,0.1161435600931518,0.027426523692512795,0.007505500287859747,0.1161435600931518,Energy,Oil & Gas E&P,1.32,26.84,18.48,0.3822393822393822,0.3053057836043979
VLO,Valero Energy Corporation,61.42B,4.80,0.023799999999999998,0.6063000000000001,0.0576,Quarterly,3.0,38.0,0.0504,0.0321,SCHD,0.0357,0.03983872145752053,0.02303654169173701,0.07874066366688216,0.05038998768666707,0.02303654169173701,0.15265491226985992,Energy,Oil & Gas Refining & Marketing,0.0,39.56,8.28,-0.3333333333333334,-0.5276839488830167
BDX,"Becton, Dickinson and Company",59.09B,4.20,0.0203,0.7182,0.050300000000000004,Quarterly,54.0,56.0,0.055,0.052300000000000006,Aristocrat+King,0.0157,0.016670232032699028,0.013137304452461224,0.025617579371060295,0.016090966913230823,0.0121380645307955,0.025617579371060295,Healthcare,Medical Instruments & Supplies,2.74,77.28,6.96,0.29299363057324845,0.2615773874538448
AFL,Aflac Incorporated,58.72B,2.44,0.0216,0.3446,0.1298,Quarterly,42.0,54.0,0.132,0.1497,Aristocrat,0.0218,0.02433927172461594,0.017813393450636913,0.032647284116410505,0.026315547365170406,0.017813393450636913,0.05089979735519843,Financial Services,Insurance - Life,0.0,28.52,13.12,-0.00917431192660545,-0.17919244846913596
O,Realty Income Corporation,58.21B,3.24,0.051399999999999994,3.0137,0.0282,Monthly,22.0,33.0,0.0281,0.0287,Aristocrat,0.0499,0.019139815553501752,0.01585804231038519,0.02527082110282962,0.019868946505064423,0.015113649660636233,0.029492561389827195,Real Estate,REIT - Retail,0.69,73.98,2.49,0.03006012024048085,1.5869514514470395
GWW,"W.W. Grainger, Inc.",56.59B,9.04,0.0076,0.2554,0.1024,Quarterly,55.0,56.0,0.0953,0.08439999999999999,Aristocrat+King,0.0105,0.011163409446971933,0.00678913461940787,0.0176956323659864,0.01694053497256781,0.00678913461940787,0.03690518270601893,Industrials,Industrial Distribution,2.23,69.11,46.1,-0.27619047619047626,-0.5513719010464044
F,Ford Motor Company,54.15B,0.60,0.044199999999999996,0.5129,-0.2,Quarterly,,15.0,-0.20629999999999998,0.431,SCHD,0.0576,0.06955621193211609,0.020823372119058957,0.34193529584043525,0.08522699276922703,0.020823372119058957,0.34193529584043525,Consumer Cyclical,Auto Manufacturers,1.69,346.67,10.29,-0.23263888888888892,-0.4813849630986942
FAST,Fastenal Company,53.41B,0.96,0.0206,0.8256999999999999,0.125,Quarterly,27.0,34.0,0.1204,0.0471,Aristocrat+SCHD,0.0216,0.023999583013588482,0.017651688343070633,0.03084271209843144,0.02843944223456584,0.017651688343070633,0.041328247601204106,Industrials,Industrial Distribution,0.78,11.21,33.29,-0.046296296296296335,-0.2756538672561459
CAH,"Cardinal Health, Inc.",53.12B,2.04,0.009000000000000001,0.2934,0.0101,Quarterly,1.0,44.0,0.0091,0.0095,Aristocrat,0.0241,0.0258555606377429,0.008997271176591172,0.047072543717235675,0.03250844685075756,0.008997271176591172,0.0551499392805649,Healthcare,Medical Distribution,11.34,0.0,0.0,-0.6265560165975104,-0.7231488775419528
TGT,Target Corporation,52.31B,4.56,0.0395,0.55,0.0179,Quarterly,55.0,56.0,0.031200000000000002,0.10949999999999999,Aristocrat+King+SCHD,0.0283,0.03090365645995285,0.01175402170793876,0.05449330764065442,0.03469252176377856,0.01175402170793876,0.06108000376297783,Consumer Defensive,Discount Stores,1.26,132.06,25.09,0.3957597173144877,0.13857390560869487
OKE,"ONEOK, Inc.",52.31B,4.28,0.051500000000000004,0.7666,0.04,Quarterly,3.0,56.0,0.034300000000000004,0.0215,SCHD,0.0565,0.06625892931788174,0.036100083266402135,0.11684385504008894,0.08537506579620126,0.036100083266402135,0.3635613954352475,Energy,Oil & Gas Midstream,0.55,152.22,17.85,-0.0884955752212389,-0.39677938143045643
HSY,The Hershey Company,46.75B,5.81,0.0252,1.2816,0.015,Quarterly,,56.0,0.1153,0.11800000000000001,SCHD,0.0228,0.024956083940328697,0.016188765017446153,0.03910245925780109,0.026704644655554863,0.016188765017446153,0.03910245925780109,Consumer Defensive,Confectioners,0.0,116.53,18.89,0.10526315789473681,-0.0563439309888694
NUE,Nucor Corporation,44.19B,2.24,0.0116,0.2939,0.0184,Quarterly,53.0,53.0,0.0304,0.0647,Aristocrat+King,0.0148,0.015804417816191966,0.011053228665919936,0.03389917303004636,0.024938127355532837,0.011053228665919936,0.06373378105349778,Basic Materials,Steel,-1.58,32.19,9.36,-0.2162162162162163,-0.5348487945937772
SYY,Sysco Corporation,41.41B,2.16,0.025,0.5739,0.0493,Quarterly,57.0,57.0,0.0281,0.0342,Aristocrat+King,0.0254,0.027582827198635494,0.023172510088441248,0.033922369762422806,0.028779793551744252,0.021497060286442687,0.06776611216153598,Consumer Defensive,Food Distribution,1.69,640.25,82.34,-0.015748031496062898,-0.13133497795765703
